Unnamed: 0,track_id,artist,song,release_date,total_weeks,peak_position,peak_streams,total_streams,release_month,release_season,first_peak_date,peak_season,language,genre,popularity,bpm,energy,danceability,loudness,valence,length,acousticness,artist_seperation,debut_position
0,61BaxM1NIcadLu3gtWm2uT,sadsvit,силуети,2022-10-28,126,1,263673,17102909,10.0,Fall,2022-11-03,Fall,Ukrainian,Rock,61.0,77.0,86.0,53.0,-7.0,39.0,177.0,2.0,61.0,1
1,2QjOHCTQ1Jl3zawyYOpxh6,the neighbourhood,sweater weather,2013-04-22,234,16,75675,12393368,4.0,Spring,2022-10-13,Fall,English,Hip Hop,91.0,124.0,81.0,61.0,-3.0,40.0,240.0,5.0,91.0,171
2,4MQmxIxM5CXKjdq4IrCWhd,sadsvit,касета,2021-12-13,154,1,296336,11790369,12.0,Winter,2024-11-28,Fall,Ukrainian,Rock,61.0,170.0,74.0,65.0,-7.0,63.0,144.0,30.0,61.0,53
3,6gtK39SLszESqJFu2SkId3,wellboy,додому,2022-12-16,117,5,115203,10613534,12.0,Winter,2023-10-05,Fall,Ukrainian,Soul,54.0,115.0,76.0,77.0,-6.0,38.0,170.0,18.0,54.0,79
4,66Xj2OpnDALdW0G509b9yY,yaktak,погляд,2022-10-13,108,1,171097,9534146,10.0,Fall,2023-06-08,Summer,Ukrainian,,54.0,110.0,79.0,76.0,-5.0,55.0,177.0,9.0,54.0,57
5,21LIoC4ZxT3F8xq9gidNbX,xxxmanera,never broke again,2022-04-08,145,1,129007,9524035,4.0,Spring,2022-07-21,Summer,English,,60.0,140.0,57.0,64.0,-7.0,70.0,108.0,1.0,60.0,96
6,6bCLkzoE3agC7Ws9NxVxIn,krbk,крепче,2016-01-05,118,8,129377,9492031,1.0,Winter,2024-03-21,Spring,Russian,,63.0,78.0,31.0,77.0,-14.0,71.0,120.0,87.0,63.0,184
7,1N8TTK1Uoy7UvQNUazfUt5,thxsomch,spit in my face!,2022-12-20,113,1,241572,9187236,12.0,Winter,2022-11-24,Fall,English,Hip Hop,80.0,94.0,79.0,73.0,-7.0,65.0,148.0,5.0,80.0,100
8,2GxrNKugF82CnoRFbQfzPf,artemas,i like the way you kiss me,2024-03-19,54,1,509776,9051129,3.0,Spring,2024-03-28,Spring,English,Electronic,84.0,152.0,95.0,60.0,-4.0,75.0,143.0,0.0,84.0,107
9,0vByMmR3Y8MBorEEE5Pmie,parfeniuk,відриваючись,2023-05-03,100,5,165999,9034842,5.0,Spring,2023-05-11,Spring,Ukrainian,,56.0,125.0,68.0,69.0,-6.0,55.0,150.0,53.0,56.0,77
