artist,song,date,ua_position,ua_streams
SadSvit,Силуети,2022/11/03,1,206686
SadSvit,Силуети,2022/11/10,1,244275
SadSvit,Силуети,2022/11/17,1,263673
SadSvit,Силуети,2022/11/24,2,224173
SadSvit,Силуети,2022/12/01,2,204662
SadSvit,Силуети,2022/12/08,2,186854
SadSvit,Силуети,2022/12/15,1,181295
SadSvit,Силуети,2022/12/22,2,173868
SadSvit,Силуети,2022/12/29,1,186573
SadSvit,Силуети,2023/01/05,2,185185
SadSvit,Силуети,2023/01/12,2,164090
SadSvit,Силуети,2023/01/19,2,152555
SadSvit,Силуети,2023/01/26,1,170550
SadSvit,Силуети,2023/02/02,1,178893
SadSvit,Силуети,2023/02/09,1,189626
SadSvit,Силуети,2023/02/16,1,187511
SadSvit,Силуети,2023/02/23,1,213140
SadSvit,Силуети,2023/03/02,1,204398
SadSvit,Силуети,2023/03/09,1,207308
SadSvit,Силуети,2023/03/16,1,204658
SadSvit,Силуети,2023/03/23,1,217681
SadSvit,Силуети,2023/03/30,1,218048
SadSvit,Силуети,2023/04/06,1,201212
SadSvit,Силуети,2023/04/13,1,191499
SadSvit,Силуети,2023/04/20,3,168021
SadSvit,Силуети,2023/04/27,4,162088
SadSvit,Силуети,2023/05/04,3,161258
SadSvit,Силуети,2023/05/11,3,172592
SadSvit,Силуети,2023/05/18,8,168854
SadSvit,Силуети,2023/05/25,5,160629
SadSvit,Силуети,2023/06/01,4,154467
SadSvit,Силуети,2023/06/08,4,150889
SadSvit,Силуети,2023/06/15,3,151355
SadSvit,Силуети,2023/06/22,2,154488
SadSvit,Силуети,2023/06/29,2,150043
SadSvit,Силуети,2023/07/06,2,146005
SadSvit,Силуети,2023/07/13,2,142011
SadSvit,Силуети,2023/07/20,3,146076
SadSvit,Силуети,2023/07/27,4,142022
SadSvit,Силуети,2023/08/03,3,138362
SadSvit,Силуети,2023/08/10,3,132367
SadSvit,Силуети,2023/08/17,3,132157
SadSvit,Силуети,2023/08/24,2,130898
SadSvit,Силуети,2023/08/31,4,122335
SadSvit,Силуети,2023/09/07,3,118480
SadSvit,Силуети,2023/09/14,5,123268
SadSvit,Силуети,2023/09/21,4,129855
SadSvit,Силуети,2023/09/28,4,128363
SadSvit,Силуети,2023/10/05,4,124632
SadSvit,Силуети,2023/10/12,4,118787
SadSvit,Силуети,2023/10/19,4,119696
SadSvit,Силуети,2023/10/26,6,119268
SadSvit,Силуети,2023/11/02,8,111971
SadSvit,Силуети,2023/11/09,9,110658
SadSvit,Силуети,2023/11/16,9,112338
SadSvit,Силуети,2023/11/23,4,113298
SadSvit,Силуети,2023/11/30,6,115319
SadSvit,Силуети,2023/12/07,6,129416
SadSvit,Силуети,2023/12/14,6,118942
SadSvit,Силуети,2023/12/21,5,122361
SadSvit,Силуети,2023/12/28,5,117915
SadSvit,Силуети,2024/01/04,5,112651
SadSvit,Силуети,2024/01/11,6,113831
SadSvit,Силуети,2024/01/18,7,110972
SadSvit,Силуети,2024/01/25,6,112706
SadSvit,Силуети,2024/02/01,8,111258
SadSvit,Силуети,2024/02/08,10,117888
SadSvit,Силуети,2024/02/15,13,109349
SadSvit,Силуети,2024/02/22,11,113169
SadSvit,Силуети,2024/02/29,9,124393
SadSvit,Силуети,2024/03/07,9,127485
SadSvit,Силуети,2024/03/14,13,115374
SadSvit,Силуети,2024/03/21,18,104552
SadSvit,Силуети,2024/03/28,18,105108
SadSvit,Силуети,2024/04/04,21,100671
SadSvit,Силуети,2024/04/11,28,94294
SadSvit,Силуети,2024/04/18,29,93936
SadSvit,Силуети,2024/04/25,27,99199
SadSvit,Силуети,2024/05/02,23,109852
SadSvit,Силуети,2024/05/09,20,114237
SadSvit,Силуети,2024/05/16,20,116305
SadSvit,Силуети,2024/05/23,22,108543
SadSvit,Силуети,2024/05/30,22,106738
SadSvit,Силуети,2024/06/06,20,104308
SadSvit,Силуети,2024/06/13,32,93524
SadSvit,Силуети,2024/06/20,32,89290
SadSvit,Силуети,2024/06/27,30,90799
SadSvit,Силуети,2024/07/04,32,84910
SadSvit,Силуети,2024/07/11,28,85044
SadSvit,Силуети,2024/07/18,25,78731
SadSvit,Силуети,2024/07/25,31,87369
SadSvit,Силуети,2024/08/01,28,88631
SadSvit,Силуети,2024/08/08,24,99487
SadSvit,Силуети,2024/08/15,21,102370
SadSvit,Силуети,2024/08/22,21,95233
SadSvit,Силуети,2024/08/29,26,86759
SadSvit,Силуети,2024/09/05,31,80428
SadSvit,Силуети,2024/09/12,30,89282
SadSvit,Силуети,2024/09/19,29,91960
SadSvit,Силуети,2024/09/26,26,91347
SadSvit,Силуети,2024/10/03,15,106974
SadSvit,Силуети,2024/10/10,14,103764
SadSvit,Силуети,2024/10/17,13,101921
SadSvit,Силуети,2024/10/24,14,101637
SadSvit,Силуети,2024/10/31,11,111046
SadSvit,Силуети,2024/11/07,13,103654
SadSvit,Силуети,2024/11/14,14,102101
SadSvit,Силуети,2024/11/21,11,104281
SadSvit,Силуети,2024/11/28,4,189203
SadSvit,Силуети,2024/12/05,4,198030
SadSvit,Силуети,2024/12/12,6,178918
SadSvit,Силуети,2024/12/19,6,173987
SadSvit,Силуети,2024/12/26,4,174140
SadSvit,Силуети,2025/01/02,5,157970
SadSvit,Силуети,2025/01/09,7,144853
SadSvit,Силуети,2025/01/16,5,143996
SadSvit,Силуети,2025/01/23,6,143037
SadSvit,Силуети,2025/01/30,5,140205
SadSvit,Силуети,2025/02/06,6,131907
SadSvit,Силуети,2025/02/13,12,115340
SadSvit,Силуети,2025/02/20,15,113824
SadSvit,Силуети,2025/02/27,15,112660
SadSvit,Силуети,2025/03/06,13,106101
SadSvit,Силуети,2025/03/13,10,103803
SadSvit,Силуети,2025/03/20,18,97931
SadSvit,Силуети,2025/03/27,12,99746
The Neighbourhood,Sweater Weather,2020/07/16,171,2659
The Neighbourhood,Sweater Weather,2020/10/08,161,12759
The Neighbourhood,Sweater Weather,2020/10/22,170,13335
The Neighbourhood,Sweater Weather,2020/10/29,138,14174
The Neighbourhood,Sweater Weather,2020/11/05,135,14105
The Neighbourhood,Sweater Weather,2020/11/12,138,13838
The Neighbourhood,Sweater Weather,2020/11/19,142,15113
The Neighbourhood,Sweater Weather,2020/11/26,131,16164
The Neighbourhood,Sweater Weather,2020/12/03,108,16901
The Neighbourhood,Sweater Weather,2020/12/10,90,18882
The Neighbourhood,Sweater Weather,2020/12/17,91,19195
The Neighbourhood,Sweater Weather,2020/12/24,99,19928
The Neighbourhood,Sweater Weather,2020/12/31,103,20084
The Neighbourhood,Sweater Weather,2021/01/07,72,19807
The Neighbourhood,Sweater Weather,2021/01/14,59,23000
The Neighbourhood,Sweater Weather,2021/01/21,59,24015
The Neighbourhood,Sweater Weather,2021/01/28,61,23989
The Neighbourhood,Sweater Weather,2021/02/04,59,25103
The Neighbourhood,Sweater Weather,2021/02/11,59,25965
The Neighbourhood,Sweater Weather,2021/02/18,51,27630
The Neighbourhood,Sweater Weather,2021/02/25,63,25762
The Neighbourhood,Sweater Weather,2021/03/04,65,26767
The Neighbourhood,Sweater Weather,2021/03/11,68,25614
The Neighbourhood,Sweater Weather,2021/03/18,64,26625
The Neighbourhood,Sweater Weather,2021/03/25,83,26459
The Neighbourhood,Sweater Weather,2021/04/01,91,24924
The Neighbourhood,Sweater Weather,2021/04/08,78,26412
The Neighbourhood,Sweater Weather,2021/04/15,81,25497
The Neighbourhood,Sweater Weather,2021/04/22,56,28252
The Neighbourhood,Sweater Weather,2021/04/29,49,29447
The Neighbourhood,Sweater Weather,2021/05/06,60,27896
The Neighbourhood,Sweater Weather,2021/05/13,62,27287
The Neighbourhood,Sweater Weather,2021/05/20,66,27769
The Neighbourhood,Sweater Weather,2021/05/27,104,26658
The Neighbourhood,Sweater Weather,2021/06/03,119,25370
The Neighbourhood,Sweater Weather,2021/06/10,116,25610
The Neighbourhood,Sweater Weather,2021/06/17,103,25562
The Neighbourhood,Sweater Weather,2021/06/24,107,23969
The Neighbourhood,Sweater Weather,2021/07/01,85,27205
The Neighbourhood,Sweater Weather,2021/07/08,91,27943
The Neighbourhood,Sweater Weather,2021/07/15,108,26323
The Neighbourhood,Sweater Weather,2021/07/22,113,27112
The Neighbourhood,Sweater Weather,2021/07/29,110,27738
The Neighbourhood,Sweater Weather,2021/08/05,109,28136
The Neighbourhood,Sweater Weather,2021/08/12,111,28191
The Neighbourhood,Sweater Weather,2021/08/19,111,29394
The Neighbourhood,Sweater Weather,2021/08/26,105,29363
The Neighbourhood,Sweater Weather,2021/09/02,98,29638
The Neighbourhood,Sweater Weather,2021/09/09,86,32649
The Neighbourhood,Sweater Weather,2021/09/16,97,32374
The Neighbourhood,Sweater Weather,2021/09/23,99,33470
The Neighbourhood,Sweater Weather,2021/09/30,109,31815
The Neighbourhood,Sweater Weather,2021/10/07,106,32287
The Neighbourhood,Sweater Weather,2021/10/14,103,33133
The Neighbourhood,Sweater Weather,2021/10/21,104,33812
The Neighbourhood,Sweater Weather,2021/10/28,103,35664
The Neighbourhood,Sweater Weather,2021/11/04,94,36445
The Neighbourhood,Sweater Weather,2021/11/11,82,38014
The Neighbourhood,Sweater Weather,2021/11/18,92,36242
The Neighbourhood,Sweater Weather,2021/11/25,116,33264
The Neighbourhood,Sweater Weather,2021/12/02,117,34111
The Neighbourhood,Sweater Weather,2021/12/09,114,37444
The Neighbourhood,Sweater Weather,2021/12/16,110,37506
The Neighbourhood,Sweater Weather,2021/12/23,134,36991
The Neighbourhood,Sweater Weather,2021/12/30,96,42334
The Neighbourhood,Sweater Weather,2022/01/06,75,42817
The Neighbourhood,Sweater Weather,2022/01/13,60,45685
The Neighbourhood,Sweater Weather,2022/01/20,61,50757
The Neighbourhood,Sweater Weather,2022/01/27,66,50589
The Neighbourhood,Sweater Weather,2022/02/03,63,50775
The Neighbourhood,Sweater Weather,2022/02/10,60,51857
The Neighbourhood,Sweater Weather,2022/02/17,73,51796
The Neighbourhood,Sweater Weather,2022/02/24,77,45936
The Neighbourhood,Sweater Weather,2022/03/03,100,23520
The Neighbourhood,Sweater Weather,2022/03/10,74,31312
The Neighbourhood,Sweater Weather,2022/03/17,65,32610
The Neighbourhood,Sweater Weather,2022/03/24,58,35382
The Neighbourhood,Sweater Weather,2022/03/31,71,32924
The Neighbourhood,Sweater Weather,2022/04/07,50,38488
The Neighbourhood,Sweater Weather,2022/04/14,48,41112
The Neighbourhood,Sweater Weather,2022/04/21,51,44458
The Neighbourhood,Sweater Weather,2022/04/28,54,40539
The Neighbourhood,Sweater Weather,2022/05/05,62,41388
The Neighbourhood,Sweater Weather,2022/05/12,56,39894
The Neighbourhood,Sweater Weather,2022/05/19,66,40196
The Neighbourhood,Sweater Weather,2022/05/26,61,41689
The Neighbourhood,Sweater Weather,2022/06/02,49,43230
The Neighbourhood,Sweater Weather,2022/06/09,41,45857
The Neighbourhood,Sweater Weather,2022/06/16,39,46138
The Neighbourhood,Sweater Weather,2022/06/23,39,48267
The Neighbourhood,Sweater Weather,2022/06/30,39,47547
The Neighbourhood,Sweater Weather,2022/07/07,46,47170
The Neighbourhood,Sweater Weather,2022/07/14,40,49203
The Neighbourhood,Sweater Weather,2022/07/21,39,48903
The Neighbourhood,Sweater Weather,2022/07/28,49,49369
The Neighbourhood,Sweater Weather,2022/08/04,46,53517
The Neighbourhood,Sweater Weather,2022/08/11,48,54632
The Neighbourhood,Sweater Weather,2022/08/18,51,52317
The Neighbourhood,Sweater Weather,2022/08/25,62,48633
The Neighbourhood,Sweater Weather,2022/09/01,59,49662
The Neighbourhood,Sweater Weather,2022/09/08,44,55553
The Neighbourhood,Sweater Weather,2022/09/15,38,62101
The Neighbourhood,Sweater Weather,2022/09/22,27,68704
The Neighbourhood,Sweater Weather,2022/09/29,23,71002
The Neighbourhood,Sweater Weather,2022/10/06,22,71803
The Neighbourhood,Sweater Weather,2022/10/13,16,75675
The Neighbourhood,Sweater Weather,2022/10/20,19,77508
The Neighbourhood,Sweater Weather,2022/10/27,28,76724
The Neighbourhood,Sweater Weather,2022/11/03,22,76854
The Neighbourhood,Sweater Weather,2022/11/10,20,77653
The Neighbourhood,Sweater Weather,2022/11/17,19,71924
The Neighbourhood,Sweater Weather,2022/11/24,29,62570
The Neighbourhood,Sweater Weather,2022/12/01,19,64918
The Neighbourhood,Sweater Weather,2022/12/08,20,66660
The Neighbourhood,Sweater Weather,2022/12/15,21,66978
The Neighbourhood,Sweater Weather,2022/12/22,31,60096
The Neighbourhood,Sweater Weather,2022/12/29,37,64924
The Neighbourhood,Sweater Weather,2023/01/05,39,63456
The Neighbourhood,Sweater Weather,2023/01/12,32,59954
The Neighbourhood,Sweater Weather,2023/01/19,37,56588
The Neighbourhood,Sweater Weather,2023/01/26,33,59013
The Neighbourhood,Sweater Weather,2023/02/02,34,59749
The Neighbourhood,Sweater Weather,2023/02/09,28,63411
The Neighbourhood,Sweater Weather,2023/02/16,30,64419
The Neighbourhood,Sweater Weather,2023/02/23,28,65652
The Neighbourhood,Sweater Weather,2023/03/02,31,61137
The Neighbourhood,Sweater Weather,2023/03/09,31,61159
The Neighbourhood,Sweater Weather,2023/03/16,36,60830
The Neighbourhood,Sweater Weather,2023/03/23,48,59511
The Neighbourhood,Sweater Weather,2023/03/30,45,58971
The Neighbourhood,Sweater Weather,2023/04/06,39,58457
The Neighbourhood,Sweater Weather,2023/04/13,43,57402
The Neighbourhood,Sweater Weather,2023/04/20,46,56564
The Neighbourhood,Sweater Weather,2023/04/27,47,57966
The Neighbourhood,Sweater Weather,2023/05/04,47,57969
The Neighbourhood,Sweater Weather,2023/05/11,57,56378
The Neighbourhood,Sweater Weather,2023/05/18,60,56708
The Neighbourhood,Sweater Weather,2023/05/25,61,54687
The Neighbourhood,Sweater Weather,2023/06/01,72,52710
The Neighbourhood,Sweater Weather,2023/06/08,68,53124
The Neighbourhood,Sweater Weather,2023/06/15,65,54830
The Neighbourhood,Sweater Weather,2023/06/22,68,53052
The Neighbourhood,Sweater Weather,2023/06/29,71,51687
The Neighbourhood,Sweater Weather,2023/07/06,61,52189
The Neighbourhood,Sweater Weather,2023/07/13,60,53966
The Neighbourhood,Sweater Weather,2023/07/20,68,52524
The Neighbourhood,Sweater Weather,2023/07/27,65,53353
The Neighbourhood,Sweater Weather,2023/08/03,73,51618
The Neighbourhood,Sweater Weather,2023/08/10,68,51180
The Neighbourhood,Sweater Weather,2023/08/17,68,51560
The Neighbourhood,Sweater Weather,2023/08/24,69,50808
The Neighbourhood,Sweater Weather,2023/08/31,57,53615
The Neighbourhood,Sweater Weather,2023/09/07,50,56166
The Neighbourhood,Sweater Weather,2023/09/14,42,64516
The Neighbourhood,Sweater Weather,2023/09/21,37,70216
The Neighbourhood,Sweater Weather,2023/09/28,37,68926
The Neighbourhood,Sweater Weather,2023/10/05,31,71302
The Neighbourhood,Sweater Weather,2023/10/12,33,71061
The Neighbourhood,Sweater Weather,2023/10/19,38,68813
The Neighbourhood,Sweater Weather,2023/10/26,41,69777
The Neighbourhood,Sweater Weather,2023/11/02,43,67441
The Neighbourhood,Sweater Weather,2023/11/09,42,67729
The Neighbourhood,Sweater Weather,2023/11/16,42,69068
The Neighbourhood,Sweater Weather,2023/11/23,33,68964
The Neighbourhood,Sweater Weather,2023/11/30,38,67332
The Neighbourhood,Sweater Weather,2023/12/07,39,72974
The Neighbourhood,Sweater Weather,2023/12/14,37,68419
The Neighbourhood,Sweater Weather,2023/12/21,32,70795
The Neighbourhood,Sweater Weather,2023/12/28,43,67744
The Neighbourhood,Sweater Weather,2024/01/04,44,64070
The Neighbourhood,Sweater Weather,2024/01/11,34,68927
The Neighbourhood,Sweater Weather,2024/01/18,43,68967
The Neighbourhood,Sweater Weather,2024/01/25,46,67097
The Neighbourhood,Sweater Weather,2024/02/01,41,70126
The Neighbourhood,Sweater Weather,2024/02/08,47,69224
The Neighbourhood,Sweater Weather,2024/02/15,56,65622
The Neighbourhood,Sweater Weather,2024/02/22,58,63569
The Neighbourhood,Sweater Weather,2024/02/29,52,63714
The Neighbourhood,Sweater Weather,2024/03/07,58,63587
The Neighbourhood,Sweater Weather,2024/03/14,67,59454
The Neighbourhood,Sweater Weather,2024/03/21,77,56962
The Neighbourhood,Sweater Weather,2024/03/28,79,55289
The Neighbourhood,Sweater Weather,2024/04/04,78,55274
The Neighbourhood,Sweater Weather,2024/04/11,101,52488
The Neighbourhood,Sweater Weather,2024/04/18,95,54459
The Neighbourhood,Sweater Weather,2024/04/25,86,57767
The Neighbourhood,Sweater Weather,2024/05/02,71,63063
The Neighbourhood,Sweater Weather,2024/05/09,57,71105
The Neighbourhood,Sweater Weather,2024/05/16,50,78680
The Neighbourhood,Sweater Weather,2024/05/23,51,78946
The Neighbourhood,Sweater Weather,2024/05/30,46,82712
The Neighbourhood,Sweater Weather,2024/06/06,43,82963
The Neighbourhood,Sweater Weather,2024/06/13,49,77786
The Neighbourhood,Sweater Weather,2024/06/20,42,79924
The Neighbourhood,Sweater Weather,2024/06/27,39,76886
The Neighbourhood,Sweater Weather,2024/07/04,37,80677
The Neighbourhood,Sweater Weather,2024/07/11,42,73444
The Neighbourhood,Sweater Weather,2024/07/18,36,71863
The Neighbourhood,Sweater Weather,2024/07/25,37,81154
The Neighbourhood,Sweater Weather,2024/08/01,32,86511
The Neighbourhood,Sweater Weather,2024/08/08,33,86045
The Neighbourhood,Sweater Weather,2024/08/15,40,80582
The Neighbourhood,Sweater Weather,2024/08/22,27,90180
The Neighbourhood,Sweater Weather,2024/08/29,31,82742
The Neighbourhood,Sweater Weather,2024/09/05,32,78763
The Neighbourhood,Sweater Weather,2024/09/12,25,93482
The Neighbourhood,Sweater Weather,2024/09/19,28,94213
The Neighbourhood,Sweater Weather,2024/09/26,20,97660
The Neighbourhood,Sweater Weather,2024/10/03,20,97740
The Neighbourhood,Sweater Weather,2024/10/10,20,96990
The Neighbourhood,Sweater Weather,2024/10/17,22,88072
The Neighbourhood,Sweater Weather,2024/10/24,23,87215
The Neighbourhood,Sweater Weather,2024/10/31,18,94392
The Neighbourhood,Sweater Weather,2024/11/07,19,92810
The Neighbourhood,Sweater Weather,2024/11/14,26,86485
The Neighbourhood,Sweater Weather,2024/11/21,24,86827
The Neighbourhood,Sweater Weather,2024/11/28,30,84201
The Neighbourhood,Sweater Weather,2024/12/05,32,78731
The Neighbourhood,Sweater Weather,2024/12/12,44,72685
The Neighbourhood,Sweater Weather,2024/12/19,50,70158
The Neighbourhood,Sweater Weather,2024/12/26,54,68164
The Neighbourhood,Sweater Weather,2025/01/02,65,60501
The Neighbourhood,Sweater Weather,2025/01/09,51,65143
The Neighbourhood,Sweater Weather,2025/01/16,49,67770
The Neighbourhood,Sweater Weather,2025/01/23,39,73008
The Neighbourhood,Sweater Weather,2025/01/30,35,72566
The Neighbourhood,Sweater Weather,2025/02/06,46,70213
The Neighbourhood,Sweater Weather,2025/02/13,56,65107
The Neighbourhood,Sweater Weather,2025/02/20,67,60815
